Classifier,Noise Level,Seed,Metric,Value
CatBoost,0.1,1,recall_score,0.8297872340425532
CatBoost,0.1,1,f1_score,0.8387096774193549
CatBoost,0.15,1,accuracy_score,0.8625
CatBoost,0.15,1,precision_score,0.86
CatBoost,0.15,1,recall_score,0.9148936170212766
CatBoost,0.15,1,f1_score,0.8865979381443299
CatBoost,0.2,1,accuracy_score,0.85
CatBoost,0.2,1,precision_score,0.8301886792452831
CatBoost,0.2,1,recall_score,0.9361702127659575
CatBoost,0.2,1,f1_score,0.88
Bagging,0.0,2,accuracy_score,0.75
Bagging,0.0,2,precision_score,0.7142857142857143
Bagging,0.0,2,recall_score,0.7894736842105263
Bagging,0.0,2,f1_score,0.75
Bagging,0.05,2,accuracy_score,0.7875
Bagging,0.05,2,precision_score,0.7560975609756098
Bagging,0.05,2,recall_score,0.8157894736842105
Bagging,0.05,2,f1_score,0.7848101265822784
Bagging,0.1,2,accuracy_score,0.7125
Bagging,0.1,2,precision_score,0.6829268292682927
Bagging,0.1,2,recall_score,0.7368421052631579
Bagging,0.1,2,f1_score,0.7088607594936709
Bagging,0.15,2,accuracy_score,0.7625
Bagging,0.15,2,precision_score,0.7435897435897436
Bagging,0.15,2,recall_score,0.7631578947368421
Bagging,0.15,2,f1_score,0.7532467532467533
Bagging,0.2,2,accuracy_score,0.8
Bagging,0.2,2,precision_score,0.7619047619047619
Bagging,0.2,2,recall_score,0.8421052631578947
Bagging,0.2,2,f1_score,0.8
MLP Classifier,0.0,2,accuracy_score,0.975
MLP Classifier,0.0,2,precision_score,0.9736842105263158
MLP Classifier,0.0,2,recall_score,0.9736842105263158
MLP Classifier,0.0,2,f1_score,0.9736842105263158
MLP Classifier,0.05,2,accuracy_score,0.975
MLP Classifier,0.05,2,precision_score,0.9736842105263158
MLP Classifier,0.05,2,recall_score,0.9736842105263158
MLP Classifier,0.05,2,f1_score,0.9736842105263158
MLP Classifier,0.1,2,accuracy_score,0.975
MLP Classifier,0.1,2,precision_score,0.9736842105263158
MLP Classifier,0.1,2,recall_score,0.9736842105263158
MLP Classifier,0.1,2,f1_score,0.9736842105263158
MLP Classifier,0.15,2,accuracy_score,0.975
MLP Classifier,0.15,2,precision_score,0.9736842105263158
MLP Classifier,0.15,2,recall_score,0.9736842105263158
MLP Classifier,0.15,2,f1_score,0.9736842105263158
MLP Classifier,0.2,2,accuracy_score,0.95
MLP Classifier,0.2,2,precision_score,0.9473684210526315
MLP Classifier,0.2,2,recall_score,0.9473684210526315
MLP Classifier,0.2,2,f1_score,0.9473684210526315
CatBoost,0.0,2,accuracy_score,0.8125
CatBoost,0.0,2,precision_score,0.7674418604651163
CatBoost,0.0,2,recall_score,0.868421052631579
CatBoost,0.0,2,f1_score,0.8148148148148148
CatBoost,0.05,2,accuracy_score,0.825
CatBoost,0.05,2,precision_score,0.7727272727272727
CatBoost,0.05,2,recall_score,0.8947368421052632
CatBoost,0.05,2,f1_score,0.8292682926829268
CatBoost,0.1,2,accuracy_score,0.8125
CatBoost,0.1,2,precision_score,0.7674418604651163
CatBoost,0.1,2,recall_score,0.868421052631579
CatBoost,0.1,2,f1_score,0.8148148148148148
CatBoost,0.15,2,accuracy_score,0.8
CatBoost,0.15,2,precision_score,0.75
CatBoost,0.15,2,recall_score,0.868421052631579
CatBoost,0.15,2,f1_score,0.8048780487804879
CatBoost,0.2,2,accuracy_score,0.775
CatBoost,0.2,2,precision_score,0.717391304347826
CatBoost,0.2,2,recall_score,0.868421052631579
CatBoost,0.2,2,f1_score,0.7857142857142857
Bagging,0.0,3,accuracy_score,0.7625
Bagging,0.0,3,precision_score,0.7428571428571429
Bagging,0.0,3,recall_score,0.7222222222222222
Bagging,0.0,3,f1_score,0.7323943661971831
Bagging,0.05,3,accuracy_score,0.7625
Bagging,0.05,3,precision_score,0.7297297297297297
Bagging,0.05,3,recall_score,0.75
Bagging,0.05,3,f1_score,0.7397260273972602
Bagging,0.1,3,accuracy_score,0.6875
Bagging,0.1,3,precision_score,0.6774193548387096
Bagging,0.1,3,recall_score,0.5833333333333334
Bagging,0.1,3,f1_score,0.6268656716417911
Bagging,0.15,3,accuracy_score,0.7375
Bagging,0.15,3,precision_score,0.6923076923076923
Bagging,0.15,3,recall_score,0.75
Bagging,0.15,3,f1_score,0.72
Bagging,0.2,3,accuracy_score,0.675
Bagging,0.2,3,precision_score,0.6388888888888888
Bagging,0.2,3,recall_score,0.6388888888888888
Bagging,0.2,3,f1_score,0.6388888888888888
MLP Classifier,0.0,3,accuracy_score,0.975
MLP Classifier,0.0,3,precision_score,1.0
MLP Classifier,0.0,3,recall_score,0.9444444444444444
MLP Classifier,0.0,3,f1_score,0.9714285714285714
MLP Classifier,0.05,3,accuracy_score,0.975
MLP Classifier,0.05,3,precision_score,1.0
MLP Classifier,0.05,3,recall_score,0.9444444444444444
MLP Classifier,0.05,3,f1_score,0.9714285714285714
MLP Classifier,0.1,3,accuracy_score,0.975
MLP Classifier,0.1,3,precision_score,1.0
MLP Classifier,0.1,3,recall_score,0.9444444444444444
MLP Classifier,0.1,3,f1_score,0.9714285714285714
MLP Classifier,0.15,3,accuracy_score,0.975
MLP Classifier,0.15,3,precision_score,1.0
MLP Classifier,0.15,3,recall_score,0.9444444444444444
MLP Classifier,0.15,3,f1_score,0.9714285714285714
MLP Classifier,0.2,3,accuracy_score,0.9625
MLP Classifier,0.2,3,precision_score,0.9714285714285714
MLP Classifier,0.2,3,recall_score,0.9444444444444444
MLP Classifier,0.2,3,f1_score,0.9577464788732394
CatBoost,0.0,3,accuracy_score,0.7
CatBoost,0.0,3,precision_score,0.6428571428571429
CatBoost,0.0,3,recall_score,0.75
CatBoost,0.0,3,f1_score,0.6923076923076923
CatBoost,0.05,3,accuracy_score,0.725
CatBoost,0.05,3,precision_score,0.6666666666666666
CatBoost,0.05,3,recall_score,0.7777777777777778
CatBoost,0.05,3,f1_score,0.717948717948718
CatBoost,0.1,3,accuracy_score,0.6625
CatBoost,0.1,3,precision_score,0.6097560975609756
CatBoost,0.1,3,recall_score,0.6944444444444444
CatBoost,0.1,3,f1_score,0.6493506493506493
CatBoost,0.15,3,accuracy_score,0.7
CatBoost,0.15,3,precision_score,0.6363636363636364
CatBoost,0.15,3,recall_score,0.7777777777777778
